Id,Source,ObjectType,ObjectName,ObjectLabel,TopicNumber,ObjectParent,DefinedBy,TaxonomyNetwork
92,ASC,[TOPIC],HealthCareEntities,Health Care Entities,954,IndustrySpecific,https://asc.fasb.org/topic&trid=2288991,None
93,ASC,[TOPIC],PlanAccountingDefinedContributionPensionPlans,Plan Accounting-Defined Contribution Pension Plans,962,IndustrySpecific,https://asc.fasb.org/topic&trid=2229423,None
94,ASC,[TOPIC],PlanAccountingHealthWelfareBenefitPlans,Plan Accounting-Health and Welfare Benefit Plans,965,IndustrySpecific,https://asc.fasb.org/topic&trid=2210437,None
95,ASC,[TOPIC],RealEstateOperations,Real Estate-General,970,IndustrySpecific,https://asc.fasb.org/topic&trid=2210437,None
96,ASC,[TOPIC],RealEstateCommonInterestRealtyAssociations,Real Estate-Common Interest Realty Associations,972,IndustrySpecific,https://asc.fasb.org/topic&trid=2134617,None
97,ASC,[TOPIC],RealEstateRealEstateInvestmentTrusts,Real Estate-Real Estate Investment Trusts,974,IndustrySpecific,https://asc.fasb.org/topic&trid=2156429,None
98,ASC,[TOPIC],RealEstateRetailLand,Real Estate-Retail Land,976,IndustrySpecific,https://asc.fasb.org/topic&trid=2134846,None
99,ASC,[TOPIC],RealEstateTimeSharingActivities,Real Estate-Time-Sharing Activities,978,IndustrySpecific,https://asc.fasb.org/topic&trid=2134977,None
100,ASC,[TOPIC],RegulatedOperations,Regulated Operations,980,IndustrySpecific,https://asc.fasb.org/topic&trid=2156578,None
101,ASC,[TOPIC],Software,Software,985,IndustrySpecific,https://asc.fasb.org/topic&trid=2197773,None
102,ASC,[TOPIC],USSteamshipEntities,U.S. Steamship Entities,995,IndustrySpecific,https://asc.fasb.org/topic&trid=2157037,None
103,ASC,[Heading],DocumentAndEntityInformation,Document and Entity Information,XXX,FinancialReport,http://www.sec.gov/info/edgar/edgartaxonomies.shtml,None
104,ASC,[TOPIC],DocumentInformation,Document Information,XXX,DocumentAndEntityInformation,http://www.sec.gov/info/edgar/edgartaxonomies.shtml,http://xbrl.sec.gov/dei/role/document/DocumentInformation
105,ASC,[TOPIC],EntityInformation,Entity Information,XXX,DocumentAndEntityInformation,http://www.sec.gov/info/edgar/edgartaxonomies.shtml,http://xbrl.sec.gov/dei/role/document/EntityInformation
